week,model_code,model_family,start_date,end_date,ret_stock,ret_dos,dbr_stock,dbr_dos,wod,stocking_outlet,activating_outlet,plc_factor,tertiary,seasonality_1(sin),seasonality_2(cos),secondary
29,A1_CLEAR_COPPER,A1,2024-06-29 00:00:00+05:30,2024-06-30 00:00:00+05:30,35,17.5,3492,1746.0,11,17,4,100,4.0,0.0532221748421787,-0.998582695676762,24.0
34,A1_CLEAR_COPPER,A1,2024-07-29 00:00:00+05:30,2024-07-31 00:00:00+05:30,964,80.33333333333333,2300,191.66666666666663,4,253,27,100,38.0,-0.4610925014493259,-0.8873520750565715,6.0
39,A1_CLEAR_COPPER,A1,2024-08-29 00:00:00+05:30,2024-08-31 00:00:00+05:30,2807,280.7,141,14.1,0,290,25,100,32.0,-0.8477344278896709,-0.5304209081197426,0.0
44,A1_CLEAR_COPPER,A1,2024-09-29 00:00:00+05:30,2024-09-30 00:00:00+05:30,4138,229.88888888888889,3789,210.5,44,1020,28,100,36.0,-0.9996456111234524,-0.0266205214377751,115.0
49,A1_CLEAR_COPPER,A1,2024-10-29 00:00:00+05:30,2024-10-31 00:00:00+05:30,6516,260.64,1988,79.52,130,2251,62,100,77.0,-0.8747630845319612,0.4845508703326504,215.0
54,A1_CLEAR_COPPER,A1,2024-11-29 00:00:00+05:30,2024-11-30 00:00:00+05:30,6715,395.0,1321,77.70588235294117,11,2459,32,100,34.0,-0.5076658003388399,0.8615540813938061,17.0
59,A1_CLEAR_COPPER,A1,2024-12-29 00:00:00+05:30,2024-12-31 00:00:00+05:30,7190,553.0769230769231,2372,182.46153846153845,66,2646,40,100,40.0,-2.4492935982947064e-16,1.0,156.0
49,LF7002_A7TORCH+,A7,2024-10-29 00:00:00+05:30,2024-10-31 00:00:00+05:30,4322,40.39252336448598,15803,147.69158878504672,588,1792,161,100,323.0,-0.8747630845319612,0.4845508703326504,1407.0
54,LF7002_A7TORCH+,A7,2024-11-29 00:00:00+05:30,2024-11-30 00:00:00+05:30,26541,70.40053050397879,32805,87.0159151193634,1063,11594,493,100,754.0,-0.5076658003388399,0.8615540813938061,1951.0
59,LF7002_A7TORCH+,A7,2024-12-29 00:00:00+05:30,2024-12-31 00:00:00+05:30,45794,91.77154308617234,33220,66.57314629258516,1219,19963,1113,100,1497.0,-2.4492935982947064e-16,1.0,2264.0
